participant_id,rule_group,empirical_remove_rate,rater_effect
P_1781988413917_n39bbwvlm,unassigned,0.0,-0.93002270272856
P_1781988602872_b0i5ddj7l,unassigned,0.3,-0.1713179865023122
P_1781988549258_dkx7fj5ns,unassigned,0.3,0.1011290019627342
P_1781988801239_p3hkh9d46,high_cluster_1,0.15,-0.3098950468812181
P_1781988824442_1ik3n7116,high_cluster_1,0.25,-0.1612506446908649
P_1781988695952_k4m5yjwbh,unassigned,0.25,-0.2922385380303499
P_1781988324526_5rhdb3e14,unassigned,0.7,1.3094221981525855
P_1781988712949_3oit0lr75,unassigned,0.35,0.1567704345728088
P_1781988786650_dne1du2yf,unassigned,0.0,-0.9115965595637968
P_1781988732923_wrmq0vt0t,unassigned,0.15,-0.4759567090116884
P_1781988675942_bndp8kg7t,unassigned,0.55,0.8885792565213109
P_1781988928666_z008ziu68,unassigned,0.25,-0.1789852143919763
P_1781988853201_8h8c0x2q3,unassigned,0.4,0.3352059093955584
P_1781988886005_ol9twazj4,unassigned,0.25,-0.1415439055365697
P_1781988755098_0s2glj0qr,unassigned,0.3,0.0470794952858421
P_1781989096005_v6cfl02kh,unassigned,0.1,-0.4889292359704221
P_1781988468654_dzp1dbxyp,unassigned,0.15,-0.3502344066078822
P_1781988802263_dcw3vezob,unassigned,0.45,0.582406790838353
P_1781988954777_rl9p6srbp,unassigned,0.3,-0.0437129741603888
P_1781988672124_b8q7u21n7,high_cluster_0,0.0,-0.8236742126455731
P_1781989142093_30gppg550,unassigned,0.4,0.6430490274846596
P_1781988537258_l6zuxyhs9,unassigned,0.0,-0.7956440840539348
P_1781989049985_c454ye3kh,unassigned,0.45,0.447964591475807
P_1781989027316_91rkba9j8,unassigned,0.3,0.0095482169188412
P_1781988882004_qv3aibfxi,unassigned,0.1,-0.2727013749925634
P_1781988922744_3xquqg8lz,unassigned,0.25,-0.5418994249991381
P_1781988638281_txk3j1mcz,unassigned,0.65,0.9810678994738912
P_1781988469061_zrzigf25d,unassigned,0.3,0.3149810382874784
P_1781988649150_njg4vov7a,unassigned,0.0,-0.871924797307314
P_1781988480744_jqcagq9nb,unassigned,0.4,0.1145661220033925
P_1781989128220_mmaux35dk,unassigned,1.0,2.246928294241308
P_1781988991522_73o835c64,high_cluster_1,0.4,0.960860900033106
P_1781988807643_c1cc9rkdk,unassigned,0.35,0.5824140486650865
P_1781988682644_6a3ptpqe1,low_cluster_0,0.0,-0.9018592291180416
P_1781989100749_5rrfsx01l,unassigned,0.0,-0.9451052725743608
P_1781988618579_88t1r1cgm,high_cluster_1,0.35,0.2947919156868739
P_1781989034901_5a3dvsw98,unassigned,0.25,-0.0065186762691592
P_1781988878113_pwgt0n201,unassigned,0.5,0.4495381733913219
P_1781988473937_x8igzwj67,unassigned,0.65,1.0433873303502572
P_1781988919118_ac7mlj0cv,unassigned,0.45,0.4277352616853165
P_1781989056416_pvt6xwbgi,unassigned,0.1,-0.5517685063307688
P_1781988830886_gdi5ftzb5,unassigned,0.25,-0.0590275709116467
P_1781989062997_v38ighiga,unassigned,0.15,-0.2302634479201959
P_1781988613712_fopd9kqur,unassigned,0.0,-0.9466430027228836
P_1781988172391_vxtwtkb8e,low_cluster_0,0.05,-0.5367482868776988
P_1781988833449_y3xc6036o,unassigned,0.45,0.3654352516957417
P_1781989129906_65neswwnw,unassigned,0.0,-1.0098262349608436
P_1781988707443_ole7f18tm,unassigned,0.0,-0.8917201730042085
P_1781988872866_0o5k80nau,high_cluster_0,0.35,0.2140252341943121
P_1781989072403_oazgev3w8,unassigned,0.3,-0.0486852555017116
P_1781989027279_aqjnvt6yl,unassigned,0.0,-0.9489827090498169
P_1781988676876_jnds4rocu,unassigned,0.0,-0.9712921688837582
P_1781989060660_9fp7qw26u,unassigned,0.45,0.2897171311876207
P_1781988532606_fbiir7klf,high_cluster_1,0.25,-0.2445670182575148
P_1781989105740_ye6rqmprr,high_cluster_1,0.35,0.3923625425228948
P_1781988859649_dx4dgrr8c,unassigned,0.0,-0.9633865794761304
P_1781989042469_4pf40jnte,unassigned,0.4,0.3199632474438643
P_1781988744524_ay21kmluw,high_cluster_1,0.2,-0.1166346701763693
P_1781989164058_p1ndi6auu,unassigned,0.35,0.0439884344983163
P_1781989187359_9pldtj9fg,unassigned,0.35,-0.1769123058495284
P_1781988895243_vo3naihbf,unassigned,0.25,-0.0033874718336431
P_1781988611877_55p4o6kjr,unassigned,0.2,-0.3173462350792866
P_1781988829033_pll26bb8s,high_cluster_0,0.15,-0.0619669148954521
P_1781988924540_1rlr6905i,high_cluster_1,0.4,0.2374702405930554
P_1781988650246_c4pxwu8us,low_cluster_1,0.0,-0.8206377991473383
P_1781989053312_k3wn2fmt3,unassigned,0.15,-0.4583583220926414
P_1781989040860_1l8ungttm,unassigned,0.25,-0.3353155884370955
P_1781989104029_epg7eims8,unassigned,0.35,0.0521391378639994
P_1781988304933_ljjiiei5q,unassigned,0.3,0.510102839919491
P_1781988993646_ll2fwjfy1,unassigned,0.4,0.3149961196737909
P_1781989015523_twquxmj2c,unassigned,0.15,-0.5468608833178011
P_1781988898022_qmeczd3yi,unassigned,0.95,2.183646174504469
P_1781988720728_7dmobt7if,unassigned,0.05,-0.5541238558055738
P_1781988550606_zubex0pl1,unassigned,0.45,0.3317923063022518
P_1781988951157_qiajqlb29,unassigned,0.0,-1.0132216202461373
P_1781988992726_xcrl3pcu1,high_cluster_1,0.45,0.5034244038788215
P_1781989099339_0d5598fqx,unassigned,0.5,0.7759075992963979
P_1781989144224_4axyg854c,unassigned,0.0,-0.6247783970534472
P_1781988914614_lavthf7jx,unassigned,0.2,-0.1565572773709461
P_1781988977468_rio7wzn4v,high_cluster_1,0.35,0.3331836827475234
P_1781988961961_x7r0vskxn,unassigned,0.45,0.4529562304866041
P_1781989230072_64nm9ok95,high_cluster_2,0.0,-1.0097399008597838
P_1781988858172_qyhxcon1s,unassigned,0.65,0.7002189593216044
P_1781989209959_02zeknuwj,unassigned,0.3,0.0065467282600593
P_1781988478805_guiax8s3f,unassigned,0.15,-0.4382510424738008
P_1781989069149_ft14xcdr1,unassigned,0.7,1.1712180196539248
P_1781988911419_mv1tx1bih,unassigned,0.05,-0.5998055433650492
P_1781988474563_k3i6hbzqy,unassigned,0.0,-0.7806852218528305
P_1781989208312_rrrdo1lxo,unassigned,0.55,1.036603547308255
P_1781988542468_qs3okfzrs,unassigned,0.6,0.8179508814487984
P_1781988922124_99bogniwr,unassigned,0.4,0.5874637125426853
P_1781989048561_2zxnih1ve,low_cluster_0,0.35,0.555559262125065
P_1781989044309_1elxe2szh,low_cluster_0,0.35,-0.0235438237130153
P_1781988826508_flywqurr1,unassigned,0.2,-0.2272561128133169
P_1781988567082_ihabpsnp8,unassigned,0.1,-0.4708982418303612
P_1781989141730_npmx1qcg3,unassigned,0.45,0.3671449322154997
P_1781989205283_e1ac0b35e,high_cluster_1,0.15,-0.6052072827572984
P_1781988969970_qz2j44vvx,high_cluster_0,0.0,-0.9549560468476188
P_1781989011717_5b74wi946,unassigned,0.15,-0.400320920504759
P_1781988725753_8iggoxefe,unassigned,0.1,-0.3554064638190899
P_1781988934147_jta8zo62n,unassigned,0.45,0.7759142977839795
P_1781989197437_h5sktkrst,unassigned,0.6,1.0281530935975869
P_1781988737841_g6e020zhl,unassigned,0.35,0.1447349576321256
P_1781988472259_bwy3g7isj,unassigned,0.9,1.8942722479419
P_1781989263734_hs0ys9h25,unassigned,0.5,0.643020001854409
P_1781989173842_zt2zzlh7y,unassigned,0.15,-0.2505110659120267
P_1781989523856_co7ratlta,high_cluster_1,0.15,-0.6098442253884028
P_1781988821299_3yisuev6x,unassigned,0.55,0.8734246951932592
P_1781989168166_klplbqsvd,unassigned,0.0,-0.983671758216748
P_1781989304982_rylt915kh,unassigned,0.1,-0.7110377052950362
P_1781989150607_zj4ainxwj,unassigned,0.05,-0.6045147440073014
P_1781988957207_8fys6g9mi,unassigned,0.3,-0.1415034574211762
P_1781989081770_8z3kgvf12,unassigned,0.3,0.0489701325468962
P_1781988932146_ouitnvji4,unassigned,0.35,-0.1043361119205018
P_1781989085554_4x1kig0zw,unassigned,0.45,0.2948415393989962
P_1781989447042_eg45k52j7,unassigned,0.5,0.8835435546337835
P_1781989417078_e9ondjm3l,low_cluster_0,0.0,-1.0081187528058306
P_1781989259599_svkf059gn,unassigned,0.2,-0.0741359372251733
P_1781989561646_rq4xdiufp,unassigned,0.45,0.4748009840035356
P_1781988669826_8plhnks9e,unassigned,0.35,-0.1163041587496086
P_1781989139628_cn6ibtl67,high_cluster_0,0.55,0.9760321879682596
P_1781989231662_6ihmjvr9m,unassigned,0.3,0.2576545932941936
P_1781989237407_nvybwjsla,unassigned,0.2,-0.7210751550069746
P_1781989314923_wifmioiz1,unassigned,0.05,-0.5817841651655301
P_1781988918495_fkkz7i57b,low_cluster_0,0.05,-0.8016688397671979
P_1781989132468_1vwx2b0lm,unassigned,0.4,0.9087951868732496
P_1781988895223_u25tbvb4f,unassigned,0.05,-0.7963740674164358
P_1781989169218_fca59itbi,unassigned,0.0,-0.9821591749675967
P_1781988265313_7kpbqs4pj,high_cluster_0,0.4,0.6076835577648805
P_1781989169552_r64ph0nlr,high_cluster_1,0.1,-0.7508626189258721
P_1781988901365_o99yoe2a5,low_cluster_0,0.35,0.1851503843250483
P_1781989126246_eyrgvd7bs,unassigned,0.55,0.7809522320895187
P_1781989260654_ud72teovm,unassigned,0.45,0.7304774102237368
P_1781989302428_dxonihu9c,high_cluster_1,0.0,-0.9167998753247196
P_1781989180971_q7y1dtdjj,unassigned,0.25,-0.0691711762574529
P_1781988469987_8twwgoomf,unassigned,0.4,0.2795799247888184
P_1781988718439_iva8ulmcr,unassigned,0.25,-0.0034020263292933
P_1781989067502_15d0ugb61,unassigned,0.8,1.723340441647153
P_1781989186846_cite2srb1,unassigned,0.5,0.6531360687975954
P_1781989140589_g052b90bs,low_cluster_0,0.0,-0.8818916718670265
P_1781989421219_duigsvx30,low_cluster_0,0.0,-0.9216493135537144
P_1781988634197_ug7k37lik,unassigned,0.2,0.2543405304384921
P_1781989312110_nsnnfues1,unassigned,0.45,0.284577207372845
P_1781989227328_v5no4e862,high_cluster_1,0.6,0.8481909047899923
P_1781988908520_f82yquvm2,unassigned,0.3,-0.1766873743882359
P_1781989155406_6fmzj6d0d,unassigned,0.2,-0.6478932336734787
P_1781989424229_f4dq4x9t6,unassigned,0.35,0.1416097924722362
P_1781989153473_b42p675eh,high_cluster_1,0.1,-0.795658319844733
P_1781988906209_odjvrpupo,unassigned,0.4,0.0117364944925565
P_1781989199060_63cuux0d4,unassigned,0.2,-0.4508673393972904
P_1781989447614_p0bihlz1l,unassigned,0.4,0.4899337787599943
P_1781989169555_jupbq5yth,high_cluster_1,0.25,-0.2090864280159542
P_1781989223861_b0gydbwcw,unassigned,0.55,0.5404426420410854
P_1781989333334_1y6kuwmt1,unassigned,0.0,-0.9266568259113742
P_1781989257724_0qskmqas4,unassigned,0.35,0.1617627805421546
P_1781989352494_8vsxywhem,unassigned,0.55,1.125740488455791
P_1781988796367_6o27xaq7o,unassigned,0.0,-0.9920945828439548
P_1781988844951_1k8lbroy8,unassigned,0.35,0.3721683651800145
P_1781989065854_uyyr4a08k,unassigned,0.25,-0.5469906015916969
P_1781989312821_syz5lstmp,unassigned,0.3,-0.2291817777522543
P_1781988994066_y06qg4pey,unassigned,0.1,-0.6629659416598596
P_1781989422142_k6wxyx0v7,unassigned,0.0,-1.035853446002982
P_1781988858059_md1xw6w1v,unassigned,0.8,1.570134145419371
P_1781989307873_5brauf0rk,high_cluster_0,0.1,-0.3981502968608856
P_1781988902882_5fma4323l,unassigned,0.0,-0.90418297734778
P_1781988797752_wedzm1vmz,unassigned,0.15,-0.2020236436565377
P_1781989032249_24hycw8dz,unassigned,0.6,0.8330402575913276
P_1781989446896_5zwal0ky3,unassigned,0.45,0.0035177297731631
P_1781989010690_5i070k3ng,low_cluster_0,0.75,1.4340579373461533
P_1781989450887_940thxvy7,low_cluster_0,0.3,-0.1437869731296815
P_1781989676021_w5l6vzjbw,unassigned,0.35,0.269487850177138
P_1781989719419_ci3zqp5bp,unassigned,0.4,0.1214691667302867
P_1781988968576_4bkk4xsc0,unassigned,0.4,0.4781838984996699
P_1781988733013_me4s931cx,unassigned,0.1,-0.4763426836793375
P_1781989453148_a0gddfpe4,unassigned,0.3,-0.1518926390937433
P_1781989470115_hixv90e8p,unassigned,0.5,1.1341496688353674
P_1781989198681_1d9k0guja,unassigned,0.0,-0.8952019288057448
P_1781989312822_xpweuo863,unassigned,0.3,-0.0839859813134178
P_1781989085945_ckjeb8shb,unassigned,0.4,0.4075327275739283
P_1781989144289_023cfz1gi,unassigned,0.5,0.1667856388103107
P_1781989305023_aww3ocjb4,high_cluster_2,0.05,-0.8106609058632263
P_1781989640519_he3ti7k87,unassigned,0.55,1.108943731422353
P_1781989206047_k2msvle6a,unassigned,0.3,0.2980705718310659
P_1781988942347_1ubf3llah,unassigned,0.15,-0.6548252140743945
P_1781989455675_6e6kk9v70,unassigned,0.15,-0.5388789250258686
P_1781989197963_jr8zm9w33,unassigned,0.3,0.4646771053241129
P_1781989697920_s3tusn12a,unassigned,0.05,-0.8236428570547792
P_1781989445834_p89z8b0ss,unassigned,0.45,0.2476264646011131
P_1781989206853_i51hhhdu6,unassigned,0.1,-0.7762104410722418
P_1781989395009_ucljwzmsb,high_cluster_1,0.4,0.1264641435926216
P_1781989591455_02la6w1k2,unassigned,0.3,-0.2496289257758112
P_1781989466277_0iapuslza,unassigned,0.3,0.2104688728020578
P_1781989307537_smr98rtj3,unassigned,0.35,0.2324618288473393
P_1781989059559_mibzlaoxl,high_cluster_2,0.15,-0.8307036425157716
P_1781989240354_ts4ubf572,unassigned,0.3,-0.1358706819448495
P_1781989449624_sqyi4xshb,high_cluster_1,0.3,-0.2496166195388761
P_1781989886820_i946o546c,unassigned,0.55,0.8516636470033321
P_1781989315842_cbajjjjw1,high_cluster_0,0.2,-0.2474280734486832
P_1781989350993_4gv96bf5q,unassigned,0.2,-0.3123318689830222
P_1781989184161_5dvu11tv4,unassigned,0.0,-0.9820684970181274
P_1781989439078_5k8q3s5yp,unassigned,0.45,0.8229487571188198
P_1781988919290_ntz4op4a9,low_cluster_0,0.15,-0.244682180386309
P_1781988545820_kt95pejf3,unassigned,0.1,-0.5772871734201578
P_1781989691627_w0v6dt7jo,unassigned,0.0,-0.9998702073105312
P_1781988670301_ebmnom2kn,unassigned,0.35,0.1599222368529388
P_1781989589508_ikdgcexv2,low_cluster_0,0.0,-0.9799170476419568
P_1781989330964_tsl9442xi,unassigned,0.25,0.0992931267594968
