topic,party_group,n_ratings,n_keep,keep_rate
40,republican,122,67,0.5491803278688525
41,democrat,121,88,0.7272727272727273
41,republican,127,92,0.7244094488188977
42,democrat,112,88,0.7857142857142857
42,republican,128,107,0.8359375
43,democrat,117,70,0.5982905982905983
43,republican,112,64,0.5714285714285714
44,democrat,113,73,0.6460176991150443
44,republican,115,80,0.6956521739130435
45,democrat,130,84,0.6461538461538462
45,republican,99,66,0.6666666666666666
46,democrat,121,81,0.6694214876033058
46,republican,91,50,0.5494505494505495
47,democrat,105,73,0.6952380952380952
47,republican,95,75,0.7894736842105263
48,democrat,95,77,0.8105263157894737
48,republican,93,70,0.7526881720430108
49,democrat,89,68,0.7640449438202247
49,republican,92,74,0.8043478260869565
50,democrat,88,58,0.6590909090909091
50,republican,88,54,0.6136363636363636
51,democrat,86,48,0.5581395348837209
51,republican,82,39,0.47560975609756095
52,democrat,88,75,0.8522727272727273
52,republican,81,57,0.7037037037037037
53,democrat,97,77,0.7938144329896907
53,republican,71,55,0.7746478873239436
54,democrat,85,53,0.6235294117647059
54,republican,83,56,0.6746987951807228
55,democrat,85,63,0.7411764705882353
55,republican,75,58,0.7733333333333333
56,democrat,73,42,0.5753424657534246
56,republican,78,44,0.5641025641025641
57,democrat,79,43,0.5443037974683544
57,republican,79,47,0.5949367088607594
58,democrat,79,56,0.7088607594936709
58,republican,78,53,0.6794871794871795
59,democrat,98,73,0.7448979591836735
59,republican,64,52,0.8125
60,democrat,78,60,0.7692307692307693
60,republican,75,57,0.76
61,democrat,80,56,0.7
61,republican,65,49,0.7538461538461538
62,democrat,68,46,0.6764705882352942
62,republican,76,53,0.6973684210526315
63,democrat,78,47,0.6025641025641025
63,republican,61,38,0.6229508196721312
64,democrat,69,50,0.7246376811594203
64,republican,66,46,0.696969696969697
65,democrat,80,63,0.7875
65,republican,58,41,0.7068965517241379
66,democrat,79,54,0.6835443037974683
66,republican,62,39,0.6290322580645161
67,democrat,65,52,0.8
67,republican,71,59,0.8309859154929577
68,democrat,64,57,0.890625
68,republican,78,69,0.8846153846153846
69,democrat,71,57,0.8028169014084507
69,republican,66,58,0.8787878787878788
70,democrat,72,60,0.8333333333333334
70,republican,65,54,0.8307692307692308
71,democrat,91,64,0.7032967032967034
71,republican,50,39,0.78
72,democrat,74,49,0.6621621621621622
72,republican,65,44,0.676923076923077
73,democrat,70,48,0.6857142857142857
73,republican,53,43,0.8113207547169812
74,democrat,66,45,0.6818181818181818
74,republican,52,41,0.7884615384615384
75,democrat,63,47,0.746031746031746
75,republican,58,33,0.5689655172413793
76,democrat,60,47,0.7833333333333333
76,republican,66,49,0.7424242424242424
77,democrat,61,37,0.6065573770491803
77,republican,52,37,0.7115384615384616
78,democrat,68,55,0.8088235294117647
78,republican,55,42,0.7636363636363637
79,democrat,62,56,0.9032258064516129
79,republican,53,48,0.9056603773584906
80,democrat,66,45,0.6818181818181818
80,republican,45,33,0.7333333333333333
81,democrat,64,35,0.546875
81,republican,53,33,0.6226415094339622
82,democrat,51,39,0.7647058823529411
82,republican,71,61,0.8591549295774648
83,democrat,66,39,0.5909090909090909
83,republican,46,27,0.5869565217391305
84,democrat,43,38,0.8837209302325582
84,republican,71,60,0.8450704225352113
85,democrat,63,38,0.6031746031746031
85,republican,52,34,0.6538461538461539
86,democrat,64,33,0.515625
86,republican,50,22,0.44
87,democrat,58,36,0.6206896551724138
87,republican,43,26,0.6046511627906976
88,democrat,62,42,0.6774193548387096
88,republican,49,43,0.8775510204081632
89,democrat,39,28,0.717948717948718
89,republican,70,50,0.7142857142857143
90,democrat,47,20,0.425531914893617
90,republican,50,23,0.46
91,democrat,49,31,0.6326530612244898
91,republican,45,24,0.5333333333333333
92,democrat,48,31,0.6458333333333334
92,republican,44,34,0.7727272727272727
93,democrat,49,28,0.5714285714285714
93,republican,48,33,0.6875
94,democrat,40,33,0.825
94,republican,48,41,0.8541666666666666
95,democrat,40,18,0.45
95,republican,47,31,0.6595744680851063
96,democrat,44,29,0.6590909090909091
96,republican,42,25,0.5952380952380952
97,democrat,41,23,0.5609756097560976
97,republican,42,30,0.7142857142857143
98,democrat,46,30,0.6521739130434783
98,republican,29,19,0.6551724137931034
99,democrat,33,32,0.9696969696969697
99,republican,41,33,0.8048780487804879
